P107,2008,S Murugesan,MIC,28315 
P107,2008,R Sivarasa,PKR,35024  
P107,2004,Tan Sri KS Nijhar,MIC,32941  
P107,2004,Mohd Nasir Hashim,PKR,17481 

P108,2008,Datuk Abdul Aziz Shamsuddin,UMNO,24042 
P108,2008,Hj Khalid Abd Samad,PAS,33356  
P108,2004,Datuk Abdul Aziz Shamsuddin,UMNO,32417  
P108,2004,Khalid Abdul Samad,PAS,19007 

P109,2008,Datin Paduka P Komala Devi,MIC,35899 
P109,2008,S Manikavasagam,PKR,48196  
P109,2004,P Komaladevi,MIC,44007  
P109,2004,Ang Hiok Gai,PKR,29419 

P110,2008,Ch'ng Toh Eng,MCA,20289 
P110,2008,Charles Santiago,DAP,37990  
P110,2004,Datin Paduka Dr Tan Yee Kew,MCA,32138  
P110,2004,Dr Wong Ang Peng,DAP,18857 

P111,2008,S.Vigneswaran,MIC,17879 
P111,2008,Dr. Siti Mariah Mahmud,PAS,38630  
P111,2004,S Vigneswaran,MIC,24376  
P111,2004,Dr Mariah Mahmud,PAS,16137 
P111,2004,T Krisnasami,Ind,3608

P112,2008,Dato Hj Sulaiman b Mohd Karli,UMNO,25698 
P112,2008,Abdullah Sani bin Abdul Hamid,PKR,26687  
P112,2004,Datuk Dr Shafie Mohd Salleh,UMNO,34118  
P112,2004,Zulkifli Noordin,PKR,12623 

P113,2008,Dato Mohd Zin Mohamed,UMNO,26381  
P113,2008,Mohamed Makki Ahmad,PAS,21532 
P113,2004,Datuk Mohd Zin Mohamed,UMNO,30755  
P113,2004,Mohamed Makki Ahmad,PAS,11918 

P114,2008,Lau Hoi Keong,GERAKAN,11704 
P114,2008,Dr Tan Seng Giaw,DAP,35552  
P114,2004,Ma Woei Chyi,GERAKAN,21428 
P114,2004,Dr Tan Seng Giaw,DAP,23282  

P115,2008,Lim Si Pin,GERAKAN,20330 
P115,2008,Chua Tian Chang,PKR,29785  
P115,2004,Ng Lip Yong @ Ng Lip Sat,GERAKAN,28718  
P115,2004,Chua Tian Chang,PKR,17201 

P116,2008,Yew Teong Look,MCA,19487 
P116,2008,Wee Choo Keong,PKR,19637  
P116,2004,Yew Teong Look,MCA,23135  
P116,2004,Sahri Bahari,PKR,12950 

P117,2008,Ma Woei Chyi,GERAKAN,17314 
P117,2008,Lim Lip Eng,DAP,25046  
P117,2004,Dr Tan Kee Kwong,GERAKAN,28061  
P117,2004,Kuan Perk Siong,DAP,11093 

